"unmatched_programs","program","specialty"
"University of Central Florida/HCA Florida Healthcare (Ocala)_Surgery-Preliminary","University of Central Florida/HCA Florida Healthcare (Ocala)","Surgery-Preliminary"
"University of Central Florida/HCA Florida Healthcare (Pensacola)_Surgery-Preliminary","University of Central Florida/HCA Florida Healthcare (Pensacola)","Surgery-Preliminary"
"University of Central Florida/HCA GME Consortium (Ocala)_Surgery-Preliminary","University of Central Florida/HCA GME Consortium (Ocala)","Surgery-Preliminary"
"University of Central Florida/HCA Healthcare GME (Greater Orlando)_Surgery-Preliminary","University of Central Florida/HCA Healthcare GME (Greater Orlando)","Surgery-Preliminary"
"University of Central Florida/HCA Healthcare GME (Ocala)_Surgery-Preliminary","University of Central Florida/HCA Healthcare GME (Ocala)","Surgery-Preliminary"
"University of Chicago_Surgery-Preliminary","University of Chicago","Surgery-Preliminary"
"University of Chicago Medical Center_Surgery-Preliminary","University of Chicago Medical Center","Surgery-Preliminary"
"University of Cincinnati Medical Center/College of Medicine_Surgery-Preliminary","University of Cincinnati Medical Center/College of Medicine","Surgery-Preliminary"
"University of Colorado_Surgery-Preliminary","University of Colorado","Surgery-Preliminary"
"University of Colorado (Rural Training Track)_Surgery-Preliminary","University of Colorado (Rural Training Track)","Surgery-Preliminary"
"University of Colorado School of Medicine_Surgery-Preliminary","University of Colorado School of Medicine","Surgery-Preliminary"
"University of Connecticut_Surgery-Preliminary","University of Connecticut","Surgery-Preliminary"
"University of Florida_Surgery-Preliminary","University of Florida","Surgery-Preliminary"
"University of Florida (Gainesville)_Surgery-Preliminary","University of Florida (Gainesville)","Surgery-Preliminary"
"University of Florida (Jacksonville )_Surgery-Preliminary","University of Florida (Jacksonville )","Surgery-Preliminary"
"University of Florida College of Medicine_Surgery-Preliminary","University of Florida College of Medicine","Surgery-Preliminary"
"University of Florida College of Medicine Jacksonville_Surgery-Preliminary","University of Florida College of Medicine Jacksonville","Surgery-Preliminary"
"University of Hawaii_Surgery-Preliminary","University of Hawaii","Surgery-Preliminary"
"University of Illinois College of Medicine at Chicago_Surgery-Preliminary","University of Illinois College of Medicine at Chicago","Surgery-Preliminary"
"University of Illinois College of Medicine at Chicago (Metropolitan Group)_Surgery-Preliminary","University of Illinois College of Medicine at Chicago (Metropolitan Group)","Surgery-Preliminary"
"University of Illinois College of Medicine at Chicago (Mount Sinai)_Surgery-Preliminary","University of Illinois College of Medicine at Chicago (Mount Sinai)","Surgery-Preliminary"
"University of Illinois College of Medicine at Peoria_Surgery-Preliminary","University of Illinois College of Medicine at Peoria","Surgery-Preliminary"
"University of Iowa Hospitals and Clinics_Surgery-Preliminary","University of Iowa Hospitals and Clinics","Surgery-Preliminary"
"University of Kansas (Wichita)_Surgery-Preliminary","University of Kansas (Wichita)","Surgery-Preliminary"
"University of Kansas School of Medicine_Surgery-Preliminary","University of Kansas School of Medicine","Surgery-Preliminary"
"University of Kentucky College of Medicine_Surgery-Preliminary","University of Kentucky College of Medicine","Surgery-Preliminary"
"University of Kentucky College of Medicine (Bowling Green)_Surgery-Preliminary","University of Kentucky College of Medicine (Bowling Green)","Surgery-Preliminary"
"University of Louisville_Surgery-Preliminary","University of Louisville","Surgery-Preliminary"
"University of Louisville School of Medicine_Surgery-Preliminary","University of Louisville School of Medicine","Surgery-Preliminary"
"University of Maryland_Surgery-Preliminary","University of Maryland","Surgery-Preliminary"
"University of Maryland/Sheppard Pratt_Surgery-Preliminary","University of Maryland/Sheppard Pratt","Surgery-Preliminary"
"University of Massachusetts_Surgery-Preliminary","University of Massachusetts","Surgery-Preliminary"
"University of Massachusetts Medical School_Surgery-Preliminary","University of Massachusetts Medical School","Surgery-Preliminary"
"University of Miami Hospital and Clinics_Surgery-Preliminary","University of Miami Hospital and Clinics","Surgery-Preliminary"
"University of Miami/JFK Medical Center Palm Beach Regional GME Consortium_Surgery-Preliminary","University of Miami/JFK Medical Center Palm Beach Regional GME Consortium","Surgery-Preliminary"
"University of Miami/Jackson Health System_Surgery-Preliminary","University of Miami/Jackson Health System","Surgery-Preliminary"
"University of Michigan_Surgery-Preliminary","University of Michigan","Surgery-Preliminary"
"University of Michigan Health System_Surgery-Preliminary","University of Michigan Health System","Surgery-Preliminary"
"University of Michigan Health-West_Surgery-Preliminary","University of Michigan Health-West","Surgery-Preliminary"
"University of Minnesota_Surgery-Preliminary","University of Minnesota","Surgery-Preliminary"
"University of Minnesota Medical School_Surgery-Preliminary","University of Minnesota Medical School","Surgery-Preliminary"
"University of Mississippi Medical Center_Surgery-Preliminary","University of Mississippi Medical Center","Surgery-Preliminary"
"University of Mississippi School of Medicine_Surgery-Preliminary","University of Mississippi School of Medicine","Surgery-Preliminary"
"University of Missouri at Kansas City_Surgery-Preliminary","University of Missouri at Kansas City","Surgery-Preliminary"
"University of Missouri-Columbia_Surgery-Preliminary","University of Missouri-Columbia","Surgery-Preliminary"
"University of Missouri-Kansas City School of Medicine_Surgery-Preliminary","University of Missouri-Kansas City School of Medicine","Surgery-Preliminary"
"University of Nebraska Medical Center_Surgery-Preliminary","University of Nebraska Medical Center","Surgery-Preliminary"
"University of Nebraska Medical Center College of Medicine_Surgery-Preliminary","University of Nebraska Medical Center College of Medicine","Surgery-Preliminary"
"University of Nevada Las Vegas (UNLV) School of Medicine_Surgery-Preliminary","University of Nevada Las Vegas (UNLV) School of Medicine","Surgery-Preliminary"
"University of Nevada Reno School of Medicine_Surgery-Preliminary","University of Nevada Reno School of Medicine","Surgery-Preliminary"
"University of New Mexico_Surgery-Preliminary","University of New Mexico","Surgery-Preliminary"
"University of New Mexico School of Medicine_Surgery-Preliminary","University of New Mexico School of Medicine","Surgery-Preliminary"
"University of North Carolina Hospitals_Surgery-Preliminary","University of North Carolina Hospitals","Surgery-Preliminary"
"University of North Dakota_Surgery-Preliminary","University of North Dakota","Surgery-Preliminary"
"University of Oklahoma Health Sciences Center_Surgery-Preliminary","University of Oklahoma Health Sciences Center","Surgery-Preliminary"
"University of Oklahoma School of Community Medicine (Tulsa)_Surgery-Preliminary","University of Oklahoma School of Community Medicine (Tulsa)","Surgery-Preliminary"
"University of Pennsylvania Health System_Surgery-Preliminary","University of Pennsylvania Health System","Surgery-Preliminary"
"University of Puerto Rico_Surgery-Preliminary","University of Puerto Rico","Surgery-Preliminary"
"University of Rochester_Surgery-Preliminary","University of Rochester","Surgery-Preliminary"
"University of South Alabama_Surgery-Preliminary","University of South Alabama","Surgery-Preliminary"
"University of South Dakota School of Medicine_Surgery-Preliminary","University of South Dakota School of Medicine","Surgery-Preliminary"
"University of South Florida Morsani_Surgery-Preliminary","University of South Florida Morsani","Surgery-Preliminary"
"University of South Florida Morsani College of Medicine_Surgery-Preliminary","University of South Florida Morsani College of Medicine","Surgery-Preliminary"
"University of Southern California/LAC+USC Medical Center_Surgery-Preliminary","University of Southern California/LAC+USC Medical Center","Surgery-Preliminary"
"University of Tennessee_Surgery-Preliminary","University of Tennessee","Surgery-Preliminary"
"University of Tennessee College of Medicine_Surgery-Preliminary","University of Tennessee College of Medicine","Surgery-Preliminary"
"University of Tennessee College of Medicine (Nashville)_Surgery-Preliminary","University of Tennessee College of Medicine (Nashville)","Surgery-Preliminary"
"University of Tennessee College of Medicine at Chattanooga_Surgery-Preliminary","University of Tennessee College of Medicine at Chattanooga","Surgery-Preliminary"
"University of Tennessee College of Medicine-Chattanooga_Surgery-Preliminary","University of Tennessee College of Medicine-Chattanooga","Surgery-Preliminary"
"University of Tennessee Medical Center at Knoxville_Surgery-Preliminary","University of Tennessee Medical Center at Knoxville","Surgery-Preliminary"
"University of Texas Health Science Center San Antonio Joe and Teresa Lozano Long School of Medicine_Surgery-Preliminary","University of Texas Health Science Center San Antonio Joe and Teresa Lozano Long School of Medicine","Surgery-Preliminary"
"University of Texas Health Science Center School of Medicine at San Antonio_Surgery-Preliminary","University of Texas Health Science Center School of Medicine at San Antonio","Surgery-Preliminary"
"University of Texas Health Science Center at Houston_Surgery-Preliminary","University of Texas Health Science Center at Houston","Surgery-Preliminary"
"University of Texas Health Science Center at Houston (Memorial Hermann Hospital)_Surgery-Preliminary","University of Texas Health Science Center at Houston (Memorial Hermann Hospital)","Surgery-Preliminary"
"University of Texas Health Science Center at Tyler_Surgery-Preliminary","University of Texas Health Science Center at Tyler","Surgery-Preliminary"
"University of Texas Medical Branch Hospitals_Surgery-Preliminary","University of Texas Medical Branch Hospitals","Surgery-Preliminary"
"University of Texas Medical Branch Hospitals/Methodist Hospital (Houston)_Surgery-Preliminary","University of Texas Medical Branch Hospitals/Methodist Hospital (Houston)","Surgery-Preliminary"
"University of Texas RGV (DHR)_Surgery-Preliminary","University of Texas RGV (DHR)","Surgery-Preliminary"
"University of Texas Rio Grande Valley_Surgery-Preliminary","University of Texas Rio Grande Valley","Surgery-Preliminary"
"University of Texas Southwestern Medical Center_Surgery-Preliminary","University of Texas Southwestern Medical Center","Surgery-Preliminary"
"University of Texas Southwestern Medical School_Surgery-Preliminary","University of Texas Southwestern Medical School","Surgery-Preliminary"
"University of Texas at Austin Dell Medical School_Surgery-Preliminary","University of Texas at Austin Dell Medical School","Surgery-Preliminary"
"University of Toledo_Surgery-Preliminary","University of Toledo","Surgery-Preliminary"
"University of Utah Health_Surgery-Preliminary","University of Utah Health","Surgery-Preliminary"
"University of Vermont Medical Center_Surgery-Preliminary","University of Vermont Medical Center","Surgery-Preliminary"
"University of Virginia Medical Center_Surgery-Preliminary","University of Virginia Medical Center","Surgery-Preliminary"
"University of Washington_Surgery-Preliminary","University of Washington","Surgery-Preliminary"
"University of Washington School of Medicine_Surgery-Preliminary","University of Washington School of Medicine","Surgery-Preliminary"
"University of Wisconsin_Surgery-Preliminary","University of Wisconsin","Surgery-Preliminary"
"University of Wisconsin (Madison)_Surgery-Preliminary","University of Wisconsin (Madison)","Surgery-Preliminary"
"University of Wisconsin Hospitals and Clinics_Surgery-Preliminary","University of Wisconsin Hospitals and Clinics","Surgery-Preliminary"
"Valley Health System_Surgery-Preliminary","Valley Health System","Surgery-Preliminary"
"Vanderbilt University Medical Center_Surgery-Preliminary","Vanderbilt University Medical Center","Surgery-Preliminary"
"Vidant Medical Center/East Carolina University_Surgery-Preliminary","Vidant Medical Center/East Carolina University","Surgery-Preliminary"
"Virginia Commonwealth University Health System_Surgery-Preliminary","Virginia Commonwealth University Health System","Surgery-Preliminary"
"Virginia Mason Franciscan Health_Surgery-Preliminary","Virginia Mason Franciscan Health","Surgery-Preliminary"
"Virginia Mason Franciscan Health/St Joseph's Hospital_Surgery-Preliminary","Virginia Mason Franciscan Health/St Joseph's Hospital","Surgery-Preliminary"
"Virginia Mason Medical Center_Surgery-Preliminary","Virginia Mason Medical Center","Surgery-Preliminary"
"Virtua_Surgery-Preliminary","Virtua","Surgery-Preliminary"
"Wake Forest University Baptist Medical Center_Surgery-Preliminary","Wake Forest University Baptist Medical Center","Surgery-Preliminary"
"Wake Forest University School of Medicine_Surgery-Preliminary","Wake Forest University School of Medicine","Surgery-Preliminary"
"Washington Hospital Center_Surgery-Preliminary","Washington Hospital Center","Surgery-Preliminary"
"Washington University/B-JH/SLCH Consortium_Surgery-Preliminary","Washington University/B-JH/SLCH Consortium","Surgery-Preliminary"
"Waterbury Hospital_Surgery-Preliminary","Waterbury Hospital","Surgery-Preliminary"
"WellStar Atlanta Medical Center_Surgery-Preliminary","WellStar Atlanta Medical Center","Surgery-Preliminary"
"Wellspan Health/York Hospital_Surgery-Preliminary","Wellspan Health/York Hospital","Surgery-Preliminary"
"Wellstar Health System/Wellstar Atlanta Medical Center_Surgery-Preliminary","Wellstar Health System/Wellstar Atlanta Medical Center","Surgery-Preliminary"
"West Virginia University_Surgery-Preliminary","West Virginia University","Surgery-Preliminary"
